timestamp,trial_number,val_loss,model.type,model.latent_dim,model.base_filters,hyperparameters.learning_rate,hyperparameters.batch_size,hyperparameters.weight_decay,training.optimizer,training.scheduler,preprocessing.normalize,preprocessing.use_tanh_output,hyperparameters.beta,model.in_channels
20250426_232434,0,inf,resnet_ae,49,17,0.0039676050770529,32,4.335281794951567e-06,rmsprop,reduce_on_plateau,True,False,,
20250426_232711,3,inf,resnet_ae,49,17,0.0039676050770529,32,4.335281794951567e-06,rmsprop,reduce_on_plateau,True,False,,
20250426_232833,5,inf,resnet_ae,49,17,0.0039676050770529,32,4.335281794951567e-06,rmsprop,reduce_on_plateau,True,False,,
20250426_232833,6,inf,vae,398,22,0.0009717775305059,64,0.0002115429079726,adam,reduce_on_plateau,False,False,0.1231557172366602,
20250426_232952,0,inf,resnet_ae,49,17,0.0039676050770529,32,4.335281794951567e-06,rmsprop,reduce_on_plateau,True,False,,
20250426_232952,1,inf,vae,398,22,0.0009717775305059,64,0.0002115429079726,adam,reduce_on_plateau,False,False,0.1231557172366602,
20250426_232952,2,inf,conv_autoencoder,79,17,8.569331925053983e-05,32,2.2844556850020545e-06,sgd,reduce_on_plateau,True,True,,
20250426_232952,3,inf,unet_ae,384,24,2.138729075414892e-05,32,3.4059785435329935e-05,adam,cosine_annealing,False,False,,
20250426_232952,4,inf,unet_ae,88,38,0.0007954064937683,16,1.3253342600066537e-06,sgd,none,False,False,,
20250426_232952,5,inf,mlp_autoencoder,374,47,0.0008435191341743,16,2.015647705936503e-06,adam,cosine_annealing,False,False,,
20250426_232952,6,inf,mlp_autoencoder,69,16,0.0008638073353835,16,1.112678892549329e-06,rmsprop,reduce_on_plateau,False,True,,
20250426_232952,7,inf,mlp_autoencoder,131,32,0.0024824787344212,32,1.338902208489294e-05,sgd,cosine_annealing,True,False,,
20250426_232952,8,inf,resnet_ae,34,61,0.0032206264959931,4,4.443037656955544e-05,adam,reduce_on_plateau,True,False,,
20250426_232952,9,inf,vae,343,40,3.081791700520561e-05,64,5.32626209759981e-05,sgd,cosine_annealing,True,False,8.363366476207686,
20250426_232952,10,inf,resnet_ae,32,24,0.0072839249759033,8,7.835112225941522e-06,rmsprop,none,True,True,,
20250426_232952,11,inf,vae,163,22,0.0001896341345995,64,0.0005654730969223,rmsprop,reduce_on_plateau,False,False,0.1167271198738043,
20250426_234005,0,inf,resnet_ae,49,17,0.0039676050770529,32,4.335281794951567e-06,rmsprop,reduce_on_plateau,True,False,,
20250426_234005,1,inf,vae,398,22,0.0009717775305059,64,0.0002115429079726,adam,reduce_on_plateau,False,False,0.1231557172366602,
20250426_235436,0,inf,resnet_ae,49,17,0.0039676050770529,64,0.000314288089084,adam,cosine_annealing,False,False,,1.0
20250426_235436,1,inf,resnet_ae,35,57,5.9750279999602906e-05,8,3.5856126103453987e-06,adam,none,False,False,,1.0
20250426_235436,2,inf,unet_ae,44,53,0.0007411299781083,8,0.0001544608907504,sgd,none,False,False,,1.0
20250426_235436,3,inf,vae,53,55,0.0004149795789891,16,4.828424974818325e-06,rmsprop,cosine_annealing,False,True,0.2781093697926554,1.0
20250426_235436,4,inf,mlp_autoencoder,62,40,0.0019268985325226,16,7.954064937683937e-05,rmsprop,reduce_on_plateau,False,False,,1.0
20250426_235839,0,0.0501458868384361,resnet_ae,49,17,0.0039676050770529,64,0.000314288089084,adam,cosine_annealing,False,False,,1.0
20250426_235839,1,0.0246762931346893,resnet_ae,35,57,5.9750279999602906e-05,8,3.5856126103453987e-06,adam,none,False,False,,1.0
20250426_235839,2,inf,unet_ae,44,53,0.0007411299781083,8,0.0001544608907504,sgd,none,False,False,,1.0
20250426_235839,3,inf,vae,53,55,0.0004149795789891,16,4.828424974818325e-06,rmsprop,cosine_annealing,False,True,0.2781093697926554,1.0
20250426_235839,4,inf,mlp_autoencoder,62,40,0.0019268985325226,16,7.954064937683937e-05,rmsprop,reduce_on_plateau,False,False,,1.0
20250426_235839,5,inf,mlp_autoencoder,388,38,0.0001040134192266,32,0.0002185881616232,adam,reduce_on_plateau,False,False,,1.0
20250426_235839,6,inf,unet_ae,183,48,0.0003220410836251,64,6.955319544158297e-06,sgd,cosine_annealing,True,True,,1.0
20250427_000612,0,inf,unet_ae,243,36,2.9380279387035334e-05,32,0.0001331121608073,sgd,reduce_on_plateau,False,True,,1.0
20250427_000612,1,inf,resnet_ae,41,41,0.0002091498132903,64,5.975027999960295e-06,adam,none,False,True,,1.0
20250427_000612,2,inf,resnet_ae,32,50,0.0013199942261535,16,2.226420430376969e-06,adam,none,True,True,,1.0
20250427_000612,3,inf,resnet_ae,99,46,4.857295179217165e-05,64,0.0002656813924114,sgd,cosine_annealing,False,True,,1.0
20250427_000612,4,inf,unet_ae,462,22,0.0003102740950912,64,3.2213437409123405e-05,rmsprop,none,True,False,,1.0
20250427_000612,5,inf,resnet_ae,190,20,0.0011825328508422,16,2.1898812429056903e-06,adam,cosine_annealing,True,False,,1.0
20250427_000612,6,inf,resnet_ae,49,34,0.001190379922025,32,9.466710461838324e-06,rmsprop,reduce_on_plateau,True,False,,1.0
20250427_000612,7,inf,resnet_ae,88,16,0.0060947470772,16,7.644457600399742e-06,sgd,none,True,False,,1.0
20250427_000612,8,inf,resnet_ae,223,48,0.0046775240101761,64,1.2818193443923133e-06,sgd,reduce_on_plateau,True,False,,1.0
20250427_000612,9,inf,resnet_ae,462,51,0.0012243980190472,8,4.443037656955544e-05,adam,reduce_on_plateau,True,False,,1.0
20250427_000612,10,inf,unet_ae,248,28,1.1321021804230371e-05,32,0.0005284384205738,sgd,reduce_on_plateau,False,True,,1.0
20250427_000612,11,inf,unet_ae,58,34,7.888553989986955e-05,32,0.0001078682793251,adam,none,False,True,,1.0
20250427_000612,12,inf,unet_ae,148,39,7.118395652598499e-05,8,1.006950823821997e-05,sgd,none,False,True,,1.0
20250427_000612,13,inf,unet_ae,292,28,1.0202700162055478e-05,32,9.589539171042816e-05,adam,reduce_on_plateau,False,True,,1.0
20250427_000612,14,inf,unet_ae,33,61,0.0002211532907646,64,0.0006319235421931,rmsprop,cosine_annealing,False,True,,1.0
20250427_000858,0,inf,unet_ae,90,60,0.0015702970884055,8,0.0003967605077052,sgd,reduce_on_plateau,False,False,,1.0
20250427_000858,1,inf,unet_ae,38,60,0.0078867141299904,8,2.091498132903561e-05,sgd,reduce_on_plateau,False,True,,1.0
20250427_000858,2,inf,unet_ae,143,19,0.0025502980701628,16,1.038882310402794e-06,adam,reduce_on_plateau,False,True,,1.0
20250427_000858,3,inf,unet_ae,104,16,2.1070472806578224e-05,16,0.0005280796376895,rmsprop,none,False,True,,1.0
20250427_000858,4,inf,unet_ae,101,21,2.288738114460096e-05,16,0.0001285454996487,sgd,cosine_annealing,True,True,,1.0
20250427_000858,5,inf,unet_ae,184,33,1.865818136012483e-05,8,5.924870051994317e-05,adam,cosine_annealing,True,True,,1.0
20250427_000858,6,inf,unet_ae,81,26,0.0015061458746961,8,1.7882156647879496e-06,sgd,none,False,False,,1.0
20250427_000858,7,inf,unet_ae,475,27,0.0047439452210589,16,3.002984436915128e-05,sgd,cosine_annealing,False,True,,1.0
20250427_000858,8,inf,unet_ae,154,18,0.0006998769331752,8,0.0001668421790225,sgd,none,False,True,,1.0
20250427_000858,9,inf,unet_ae,35,50,0.0001203848744682,32,7.390459262954646e-05,rmsprop,none,True,False,,1.0
20250427_001039,11,inf,unet_ae,90,60,0.0015702970884055,8,0.0003967605077052,sgd,reduce_on_plateau,False,False,,1.0
20250427_001039,12,inf,unet_ae,38,60,0.0078867141299904,8,2.091498132903561e-05,sgd,reduce_on_plateau,False,True,,1.0
20250427_001102,0,inf,unet_ae,90,60,0.0015702970884055,8,0.0003967605077052,sgd,reduce_on_plateau,False,False,,1.0
20250427_001102,1,inf,unet_ae,38,60,0.0078867141299904,8,2.091498132903561e-05,sgd,reduce_on_plateau,False,True,,1.0
20250427_001458,0,0.2086190283298492,unet_ae,90,60,0.0015702970884055,8,0.0003967605077052,sgd,reduce_on_plateau,False,False,,1.0
20250427_001458,1,inf,unet_ae,38,60,0.0078867141299904,8,2.091498132903561e-05,sgd,reduce_on_plateau,False,True,,1.0
20250427_001458,2,0.0932018384337425,unet_ae,143,19,0.0025502980701628,16,1.038882310402794e-06,adam,reduce_on_plateau,False,True,,1.0
20250427_001458,3,inf,unet_ae,104,16,2.1070472806578224e-05,16,0.0005280796376895,rmsprop,none,False,True,,1.0
20250427_001458,4,0.102806881070137,unet_ae,101,21,2.2887381144600957e-05,16,0.0001285454996487,sgd,cosine_annealing,True,True,,1.0
20250427_001458,5,0.22546179592609406,unet_ae,184,33,1.865818136012483e-05,8,5.924870051994317e-05,adam,cosine_annealing,True,True,,1.0
